postTime,msgFrom,title,link,desc
2017/03/31,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=2254&cateid=11119&hcateid=111,KAVO种植机配件询价采购公告
2017/03/09,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=2191&cateid=11119&hcateid=111,西安交通大学口腔医院招标代理及造价咨询机构遴选招标公告
2017/03/02,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=2174&cateid=11119&hcateid=111,西安交通大学口腔医院沣东口腔门诊部工程施工监理中标公告
2017/02/28,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=2173&cateid=11119&hcateid=111,西安交通大学口腔医院招标代理及造价咨询机构遴选招标公告
2017/02/14,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=2065&cateid=11119&hcateid=111,西安交通大学口腔医院沣东口腔门诊部施工监理招标公告
2016/11/11,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1922&cateid=11119&hcateid=111,设备维修招标公告
2016/09/26,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1870&cateid=11119&hcateid=111,中标公告
2016/09/13,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1859&cateid=11119&hcateid=111,儿科麻醉室装修改造工程中标公告
2016/09/09,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1858&cateid=11119&hcateid=111,“药物临床试验机构”认证工作项目中标公告
2016/09/08,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1855&cateid=11119&hcateid=111,保安服务项目中标公告
2016/09/08,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1856&cateid=11119&hcateid=111,电生理数据采集分析系统、微电极放大器、手动轮转式切片机中标公告
2016/08/19,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1838&cateid=11119&hcateid=111,招标公告
2016/08/08,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1831&cateid=11119&hcateid=111,保安服务公司项目招标公告
2016/08/04,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1824&cateid=11119&hcateid=111,招标公告
2016/08/03,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1822&cateid=11119&hcateid=111,招标公示
2016/07/08,西安交通大学口腔医院,西安交通大学口腔医院,http://www.dentalxjtu.com/news_detailed.php?id=1779&cateid=11119&hcateid=111,招标延期公告
