postTime,msgFrom,title,link,desc
2015/10/05,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=322,我院委托检测项目招标邀请函
2015/09/28,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=321,多功能冷冻治疗仪设备采购安装项目招标邀请函
2015/09/28,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=320,冠状动脉血流储备分数（FFR）测试仪（动脉生理检测仪）设备采购安装项目招标邀请函
2015/09/15,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=314,血细胞分离机设备采购安装项目招标邀请函
2016/03/25,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=397,全自动净水机设备采购安装项目招标邀请函
2016/03/21,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=394,ICU转运床、心肺复苏装备车采购安装项目招标邀请函
2016/03/17,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=392,血液净化管理系统采购安装项目招标邀请函
2016/02/22,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=374,3201医院网闸设备采购安装招标邀请函
2015/09/09,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=313,脑立体定向系统采购安装项目招标邀请函
2015/08/15,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=304,招标邀请书
2015/07/30,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=290,3201医院医用床上用品招标采购邀请函
2015/07/17,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=279,3201医院发光字制作安装项目招标邀请函
2016/10/08,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=551,招标邀请函
2016/08/01,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=497,3201医院输血科输血管理信息系统采购安装项目招标邀请函
2016/07/10,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=469,3201医院磁盘阵列存储设备系统采购安装项目招标邀请函
2016/07/10,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=468,3201医院防统方软件系统采购安装项目招标邀请函
2015/06/30,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=258,麻醉气体监护仪设备采购安装项目招标议标通知
2017/03/06,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=644,耗材配送企业遴选排序公示
2017/02/28,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=638,药品配送企业遴选排序公示
2017/02/28,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=637,3201医院新生儿科奶粉采购项目招标邀请函
2017/02/23,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=633,三二〇一医院床品四件套招标邀请函
2017/01/03,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=602,3201医院关于2017年度职工福利油招标邀请函
2016/12/17,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=35&id=597,3201医院招标邀请函
2016/05/16,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=434,3201医院检验科骨髓图文工作站(网络版)、染色体核型分析系统（网络版）采购项目招标邀请函
2016/05/16,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=433,3201医院信息安全等级保护测评服务机构招标项目招标邀请函
2016/04/18,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=411,眼科研设备采购安装项目招标邀请函
2016/04/06,汉中3201医院,院务公开 - 汉中3201医院-西安交通大学医学院附属医院,http://www.hz3201.com/newsshow.php?cid=72&id=409,新增新增放射性核素和射线装置核技术应用项目公示
