postTime,msgFrom,title,link,desc
2016/11/10,汉中市中心医院,关于药品、耗材配送企业遴选的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3280.htm,关于药品、耗材配送企业遴选的招标公告
2016/09/13,汉中市中心医院,采购招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3247.htm,采购招标公告
2016/08/17,汉中市中心医院,公开采购招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3228.htm,公开采购招标公告
2016/11/12,汉中市中心医院,汉中市中心医院医用耗材配送企业遴选招标文件-汉中市中心医院,http://www.hzcch.com/info/1064/3283.htm,汉中市中心医院医用耗材配送企业遴选招标文件
2016/11/12,汉中市中心医院,汉中市中心医院药品配送企业遴选招标文件-汉中市中心医院,http://www.hzcch.com/info/1064/3282.htm,汉中市中心医院药品配送企业遴选招标文件
2012/08/02,汉中市中心医院,汉中市中心医院门诊科技大楼标示标牌设计招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1814.htm,汉中市中心医院门诊科技大楼标示标牌设计招标公告
2012/10/08,汉中市中心医院,门诊综合楼安全防护监控系统工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1818.htm,门诊综合楼安全防护监控系统工程招标公告
2012/08/02,汉中市中心医院,招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1817.htm,招标公告
2012/06/29,汉中市中心医院,汉中市中心医院门诊科技大楼标示标牌设计招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1812.htm,汉中市中心医院门诊科技大楼标示标牌设计招标公告
2012/10/08,汉中市中心医院,门诊综合楼局域网综合布线工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1819.htm,门诊综合楼局域网综合布线工程招标公告
2012/08/02,汉中市中心医院,陕西省汉中市中心医院蒸汽锅炉及锅炉管道设备安装招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1815.htm,陕西省汉中市中心医院蒸汽锅炉及锅炉管道设备安装招标公告
2015/08/22,汉中市中心医院,汉中市中医医院药房药架招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1893.htm,汉中市中医医院药房药架招标公告
2012/10/23,汉中市中心医院,门诊大楼顶防水维修工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1820.htm,门诊大楼顶防水维修工程招标公告
2012/11/01,汉中市中心医院,风冷模块式冷热水机组招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1821.htm,风冷模块式冷热水机组招标邀请书
2015/07/16,汉中市中心医院,招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1890.htm,招标公告
2015/05/13,汉中市中心医院,检验科自动采血系统招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1888.htm,检验科自动采血系统招标公告
2015/06/29,汉中市中心医院,汉中市中医医院关于后勤保障工作整体承包的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1889.htm,汉中市中医医院关于后勤保障工作整体承包的招标公告
2016/01/08,汉中市中心医院,汉中市中心医院下送服务项目再次招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3103.htm,汉中市中心医院下送服务项目再次招标公告
2015/12/28,汉中市中心医院,汉中市中心医院保安服务及下送服务项目招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3101.htm,汉中市中心医院保安服务及下送服务项目招标公告
2015/07/27,汉中市中心医院,回旋加速器治疗楼监理的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1892.htm,回旋加速器治疗楼监理的招标公告
2015/11/12,汉中市中心医院,应急备用发电机配电施工招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1896.htm,应急备用发电机配电施工招标邀请书
2012/11/12,汉中市中心医院,汉中市中心医院对拟建工程和竣工工程决算审计的代理机构的招标公-汉中市中心医院,http://www.hzcch.com/info/1064/1822.htm,汉中市中心医院对拟建工程和竣工工程决算审计的代理机构的招标公
2013/05/14,汉中市中心医院,水源热泵热水机组招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1826.htm,水源热泵热水机组招标邀请书
2013/03/20,汉中市中心医院,关于门诊综合楼10KV配电工程项目的招标邀请-汉中市中心医院,http://www.hzcch.com/info/1064/1823.htm,关于门诊综合楼10KV配电工程项目的招标邀请
2016/05/03,汉中市中心医院,输液器招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3110.htm,输液器招标公告
2016/05/04,汉中市中心医院,汉中市中心医院计算机耗材及维保服务招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3111.htm,汉中市中心医院计算机耗材及维保服务招标公告
2013/05/14,汉中市中心医院,空调风管机招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1825.htm,空调风管机招标邀请书
2015/04/30,汉中市中心医院,汉中市中心医院关于中央空调清洗工程整体外包项目等招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1887.htm,汉中市中心医院关于中央空调清洗工程整体外包项目等招标邀请书
2016/02/02,汉中市中心医院,汉中市中心医院及汉中市中医医院食堂承包招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3104.htm,汉中市中心医院及汉中市中医医院食堂承包招标公告
2016/06/14,汉中市中心医院,招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3132.htm,招标公告
2016/06/12,汉中市中心医院,招 标 公 告-汉中市中心医院,http://www.hzcch.com/info/1064/3131.htm,招标公告
2015/01/22,汉中市中心医院,微官网及微信平台建设项目招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1876.htm,微官网及微信平台建设项目招标邀请书
2015/01/06,汉中市中心医院,汉中市中心医院高压氧舱治疗建设项目招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1873.htm,汉中市中心医院高压氧舱治疗建设项目招标公告
2015/01/16,汉中市中心医院,汉中市中心医院信息安全等级保护评测招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1874.htm,汉中市中心医院信息安全等级保护评测招标邀请书
2015/02/07,汉中市中心医院,信息化设备技术服务项目招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1877.htm,信息化设备技术服务项目招标邀请书
2015/01/18,汉中市中心医院,汉中市中心医院两网数据交换安全建设项目招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1875.htm,汉中市中心医院两网数据交换安全建设项目招标邀请书
2013/05/29,汉中市中心医院,归档存储扩容项目招标邀请书        　　　-汉中市中心医院,http://www.hzcch.com/info/1064/1827.htm,归档存储扩容项目招标邀请书　　　
2013/05/29,汉中市中心医院,一体化手术室招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1828.htm,一体化手术室招标公告
2013/06/08,汉中市中心医院,消毒供应室设备配置招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1830.htm,消毒供应室设备配置招标邀请书
2013/07/01,汉中市中心医院,汉中市中心医院门诊综合楼 及高层公寓楼亮化工程招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1832.htm,汉中市中心医院门诊综合楼及高层公寓楼亮化工程招标邀请书
2013/06/03,汉中市中心医院,门诊综合大楼标识导向系统招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1829.htm,门诊综合大楼标识导向系统招标邀请书
2013/06/28,汉中市中心医院,家俱招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1831.htm,家俱招标公告
2016/05/31,汉中市中心医院,主动脉球囊反搏仪招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3130.htm,主动脉球囊反搏仪招标公告
2013/07/17,汉中市中心医院,关于院内装修装饰工程公司招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1833.htm,关于院内装修装饰工程公司招标邀请书
2013/07/25,汉中市中心医院,汉中市中心医院防护门招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1834.htm,汉中市中心医院防护门招标邀请书
2013/07/31,汉中市中心医院,招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1835.htm,招标邀请书
2013/12/05,汉中市中心医院,汉中市中心医院职工搬迁安置楼项目方案及施工图设计招标-汉中市中心医院,http://www.hzcch.com/info/1064/1841.htm,汉中市中心医院职工搬迁安置楼项目方案及施工图设计招标
2013/11/22,汉中市中心医院,汉中市中心医院设备招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1838.htm,汉中市中心医院设备招标公告
2013/11/28,汉中市中心医院,门禁及供水设备招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1840.htm,门禁及供水设备招标公告
2013/11/27,汉中市中心医院,汉中市中心医院新门诊综合大楼显示大屏招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1839.htm,汉中市中心医院新门诊综合大楼显示大屏招标公告
2015/02/28,汉中市中心医院,汉中市中医医院住院综合楼标识导向系统招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1879.htm,汉中市中医医院住院综合楼标识导向系统招标公告
2015/03/26,汉中市中心医院,汉中市中医医院信息系统集成设备招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1881.htm,汉中市中医医院信息系统集成设备招标邀请书
2016/06/14,汉中市中心医院,放疗计划系统等项目招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3133.htm,放疗计划系统等项目招标公告
2016/06/20,汉中市中心医院,多导生理仪招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/3134.htm,多导生理仪招标公告
2013/12/27,汉中市中心医院,汉中市中心医院设备招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1842.htm,汉中市中心医院设备招标公告
2014/12/29,汉中市中心医院,检验科生化试剂招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1871.htm,检验科生化试剂招标公告
2014/03/29,汉中市中心医院,汉中市中心医院电梯运行管理招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1846.htm,汉中市中心医院电梯运行管理招标邀请书
2014/03/11,汉中市中心医院,汉中市中心医院保洁公司招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1845.htm,汉中市中心医院保洁公司招标邀请书
2014/02/13,汉中市中心医院,关于旧门诊楼装修装饰工程的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1844.htm,关于旧门诊楼装修装饰工程的招标邀请书
2014/04/11,汉中市中心医院,汉中市中心医院关于洗衣房整体外包项目的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1848.htm,汉中市中心医院关于洗衣房整体外包项目的招标邀请书
2014/04/11,汉中市中心医院,汉中市中心医院关于泌尿科男性功能障碍诊断治疗设备的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1847.htm,汉中市中心医院关于泌尿科男性功能障碍诊断治疗设备的招标邀请书
2014/07/22,汉中市中心医院,汉中市中心医院关于呼吸内科重症监护病房装修装饰工程的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1859.htm,汉中市中心医院关于呼吸内科重症监护病房装修装饰工程的招标公告
2014/07/16,汉中市中心医院,血液净化中心水处理系统招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1858.htm,血液净化中心水处理系统招标公告
2015/04/10,汉中市中心医院,汉中市中心医院2015年电梯运行管理招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1882.htm,汉中市中心医院2015年电梯运行管理招标邀请书
2014/08/18,汉中市中心医院,汉中市中心医院关于购置救护车的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1861.htm,汉中市中心医院关于购置救护车的招标公告
2014/08/04,汉中市中心医院,汉中市中心医院急诊科装修装饰工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1860.htm,汉中市中心医院急诊科装修装饰工程招标公告
2014/09/23,汉中市中心医院,汉中市中心医院关于中医院高压配电柜、变压器招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1863.htm,汉中市中心医院关于中医院高压配电柜、变压器招标公告
2014/08/25,汉中市中心医院,汉中市中心医院关于《汉中市卫生应急指挥中心项目》的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1862.htm,汉中市中心医院关于《汉中市卫生应急指挥中心项目》的招标公告
2014/09/23,汉中市中心医院,汉中市中心医院关于中医院住院综合楼污水处理工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1864.htm,汉中市中心医院关于中医院住院综合楼污水处理工程招标公告
2014/10/22,汉中市中心医院,汉中市中心医院关于高层公寓楼消防监测的招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1865.htm,汉中市中心医院关于高层公寓楼消防监测的招标公告
2014/10/27,汉中市中心医院,汉中市中心医院关于污水处理工程改扩建招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1866.htm,汉中市中心医院关于污水处理工程改扩建招标公告
2014/10/30,汉中市中心医院,汉中市中心医院2号楼及3号楼灯箱制作招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1868.htm,汉中市中心医院2号楼及3号楼灯箱制作招标公告
2014/11/19,汉中市中心医院,汉中市中心医院高层公寓楼三层装饰装修招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1869.htm,汉中市中心医院高层公寓楼三层装饰装修招标公告
2014/11/19,汉中市中心医院,招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1870.htm,招标邀请书
2014/04/11,汉中市中心医院,汉中市中心医院关于产科产后康复项目的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1849.htm,汉中市中心医院关于产科产后康复项目的招标邀请书
2014/10/27,汉中市中心医院,汉中市中心医院心内ICU装修装饰工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1867.htm,汉中市中心医院心内ICU装修装饰工程招标公告
2014/04/16,汉中市中心医院,关于准分子手术室装修装饰工程的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1850.htm,关于准分子手术室装修装饰工程的招标邀请书
2014/05/30,汉中市中心医院,汉中市中心医院关于外科楼神经内科监护室装修装饰工程的招标邀请-汉中市中心医院,http://www.hzcch.com/info/1064/1852.htm,汉中市中心医院关于外科楼神经内科监护室装修装饰工程的招标邀请
2014/04/16,汉中市中心医院,关于全院花卉租摆及院内绿化养护的招标邀请书-汉中市中心医院,http://www.hzcch.com/info/1064/1851.htm,关于全院花卉租摆及院内绿化养护的招标邀请书
2014/07/16,汉中市中心医院,门诊综合楼23层应急指挥中心装饰装修工程招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1857.htm,门诊综合楼23层应急指挥中心装饰装修工程招标公告
2014/06/28,汉中市中心医院,检验科微生物项目招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1855.htm,检验科微生物项目招标公告
2014/07/16,汉中市中心医院,检验科全自动酶免分析仪招标公告-汉中市中心医院,http://www.hzcch.com/info/1064/1856.htm,检验科全自动酶免分析仪招标公告
