postTime,msgFrom,title,link,desc
2017/03/01,陕西省人民医院,心血管外科招聘有证护士的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/24215.htm,心血管外科招聘有证护士的通知
2017/03/23,陕西省人民医院,中心实验室五层实验台采购议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/24340.htm,中心实验室五层实验台采购议标公告
2017/03/17,陕西省人民医院,陕西省人民医院关于助理护士招聘名单公示-陕西省人民医院,http://www.spph-sx.com/info/1072/24301.htm,陕西省人民医院关于助理护士招聘名单公示
2016/12/01,陕西省人民医院,中央空调末端零配件采购项目议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23784.htm,中央空调末端零配件采购项目议标公告
2016/12/16,陕西省人民医院,职工食堂煤改气施工项目议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23885.htm,职工食堂煤改气施工项目议标公告
2008/05/09,陕西省人民医院,陕西省人民医院中心实验室招聘公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11282.htm,陕西省人民医院中心实验室招聘公告
2008/06/26,陕西省人民医院,院财务经营处招聘收费员公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11257.htm,院财务经营处招聘收费员公告
2008/07/04,陕西省人民医院,医院综合布线议标通知-陕西省人民医院,http://www.spph-sx.com/info/1072/11262.htm,医院综合布线议标通知
2016/11/21,陕西省人民医院,洗衣房疏水阀采购、安装议标项目中标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23714.htm,洗衣房疏水阀采购、安装议标项目中标公告
2008/03/05,陕西省人民医院,陕西省人民医院08年2月招聘护士及护理员成绩公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11293.htm,陕西省人民医院08年2月招聘护士及护理员成绩公告
2008/08/11,陕西省人民医院,陕西省人民医院关于招聘护理员的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/11241.htm,陕西省人民医院关于招聘护理员的通知
2016/09/21,陕西省人民医院,陕西省人民医院关于康复治疗师招聘名单的公示-陕西省人民医院,http://www.spph-sx.com/info/1072/23274.htm,陕西省人民医院关于康复治疗师招聘名单的公示
2016/10/31,陕西省人民医院,陕西省人民医院9号楼消防泵配电柜采购及安装议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23538.htm,陕西省人民医院9号楼消防泵配电柜采购及安装议标公告
2016/10/31,陕西省人民医院,陕西省人民医院南七楼监控设备采购及安装项目议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23539.htm,陕西省人民医院南七楼监控设备采购及安装项目议标公告
2016/09/21,陕西省人民医院,陕西省人民医院门急诊楼PET-CT室安装气体灭火装置项目议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23273.htm,陕西省人民医院门急诊楼PET-CT室安装气体灭火装置项目议标公告
2016/08/18,陕西省人民医院,陕西省人民医院门诊楼屋面消防稳压泵采购安装及管道更换议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23111.htm,陕西省人民医院门诊楼屋面消防稳压泵采购安装及管道更换议标公告
2016/08/25,陕西省人民医院,陕西省人民医院关于康复医学科招聘医师的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/23141.htm,陕西省人民医院关于康复医学科招聘医师的通知
2016/08/25,陕西省人民医院,陕西省人民医院关于康复医学科招聘康复治疗师的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/23140.htm,陕西省人民医院关于康复医学科招聘康复治疗师的通知
2016/09/01,陕西省人民医院,陕西省人民医院招聘消防员排名公示-陕西省人民医院,http://www.spph-sx.com/info/1072/23175.htm,陕西省人民医院招聘消防员排名公示
2016/09/06,陕西省人民医院,陕西省人民医院实验楼设置消防自动报警系统议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23193.htm,陕西省人民医院实验楼设置消防自动报警系统议标公告
2016/09/14,陕西省人民医院,陕西省人民医院实验楼设置消防自动报警系统二次议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23237.htm,陕西省人民医院实验楼设置消防自动报警系统二次议标公告
2016/08/11,陕西省人民医院,陕西省人民医院关于招聘合同制医技人员拟录用人员名单-陕西省人民医院,http://www.spph-sx.com/info/1072/23065.htm,陕西省人民医院关于招聘合同制医技人员拟录用人员名单
2016/08/10,陕西省人民医院,陕西省人民医院家属区监控设备采购议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23064.htm,陕西省人民医院家属区监控设备采购议标公告
2008/10/22,陕西省人民医院,陕西省人民医院关于招聘护理员的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/11204.htm,陕西省人民医院关于招聘护理员的通知
2016/11/14,陕西省人民医院,九号楼消防泵配电柜采购及安装项目二次议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/23669.htm,九号楼消防泵配电柜采购及安装项目二次议标公告
2016/07/11,陕西省人民医院,陕西省人民医院“污染物排放核定报告”核定费用议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/22755.htm,陕西省人民医院“污染物排放核定报告”核定费用议标公告
2016/07/13,陕西省人民医院,中国卫生质量管理杂志社招聘启事-陕西省人民医院,http://www.spph-sx.com/info/1072/22788.htm,中国卫生质量管理杂志社招聘启事
2016/08/04,陕西省人民医院,陕西省人民医院消防员招聘启事-陕西省人民医院,http://www.spph-sx.com/info/1072/23016.htm,陕西省人民医院消防员招聘启事
2016/08/08,陕西省人民医院,陕西省人民医院关于招聘合同制医技人员笔试面试的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/23043.htm,陕西省人民医院关于招聘合同制医技人员笔试面试的通知
2009/01/05,陕西省人民医院,关于招聘药剂人员的通知-陕西省人民医院,http://www.spph-sx.com/info/1072/11199.htm,关于招聘药剂人员的通知
2016/08/10,陕西省人民医院,陕西省人民医院招聘合同制医技人员面试通知-陕西省人民医院,http://www.spph-sx.com/info/1072/23061.htm,陕西省人民医院招聘合同制医技人员面试通知
2009/03/30,陕西省人民医院,招聘公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11181.htm,招聘公告
2009/04/01,陕西省人民医院,陕西省人民医院中心实验室招聘工作人员启事-陕西省人民医院,http://www.spph-sx.com/info/1072/11150.htm,陕西省人民医院中心实验室招聘工作人员启事
2016/05/18,陕西省人民医院,陕西省人民医院教学家具采购项目议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/22390.htm,陕西省人民医院教学家具采购项目议标公告
2009/06/03,陕西省人民医院,陕西省人民医院招聘公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11131.htm,陕西省人民医院招聘公告
2016/05/20,陕西省人民医院,陕西省人民医院关于助理护士招聘名单公示-陕西省人民医院,http://www.spph-sx.com/info/1072/22428.htm,陕西省人民医院关于助理护士招聘名单公示
2009/08/04,陕西省人民医院,陕西省人民医院招聘检验技士公告-陕西省人民医院,http://www.spph-sx.com/info/1072/11123.htm,陕西省人民医院招聘检验技士公告
2016/04/26,陕西省人民医院,陕西省人民医院重点部位安装监控设备第二次议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/22244.htm,陕西省人民医院重点部位安装监控设备第二次议标公告
2016/05/10,陕西省人民医院,陕西省人民医院保安服装采购二次议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/22315.htm,陕西省人民医院保安服装采购二次议标公告
2016/05/10,陕西省人民医院,陕西省人民医院重点部位安装监控设备三次议标公告-陕西省人民医院,http://www.spph-sx.com/info/1072/22316.htm,陕西省人民医院重点部位安装监控设备三次议标公告
