postTime,msgFrom,title,link,desc
2013/05/31,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1073/content.aspx,唐都医院放射科自助打印系统和医师诊断工作站集中采购公告
2013/05/24,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1068/content.aspx,唐都医院放射科1.5T磁共振系统屏蔽工程和机房空调招标公告
2013/04/19,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1018/content.aspx,唐都医院2013年春季医疗设备集中采购公告
2013/04/03,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/986/content.aspx,数字化建设项目集中招标公告
2013/02/22,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/934/content.aspx,唐都医院放射科机房防护装饰工程招标公告
2012/12/13,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/875/content.aspx,唐都医院医疗器材集中采购公告1
2012/07/27,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/718/content.aspx,唐都医院住院二部网络设备招标公告
2012/07/17,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/712/content.aspx,唐都医院网络准入访问控制系统招标公告
2012/07/09,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/705/content.aspx,住院二部安防监控系统改造工程招标公告
2012/05/31,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/661/content.aspx,唐都医院住院二部综合布线招标公告
2012/05/10,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/638/content.aspx,唐都医院医疗器材集中采购公告
2012/03/13,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/505/content.aspx,病房大楼手术室维修改造工程招标公告
2012/03/13,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/482/content.aspx,唐都医院医疗设备集中采购公告
2012/03/12,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/379/content.aspx,唐都医院病房大楼维修改造工程招标公告
2015/02/02,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1892/content.aspx,唐都医院后勤维修物资采购工程招标公告2015
2015/02/02,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1891/content.aspx,唐都医院核医学科设备层加固工程招标公告
2015/01/23,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1882/content.aspx,唐都医院办公、保洁、洗涤用品集中采购招标公告
2015/01/13,第四军医大学唐都医院,第四军医大学唐都医院 - 为您架设通往健康的桥梁,http://tdwww.fmmu.edu.cn/9/1854/content.aspx,唐都医院文化内宣工程招标公告
