postTime,msgFrom,title,link,desc
2017/03/29,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4685&categoryid=54,武警医院护士鞋招标公告
2017/03/29,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4684&categoryid=54,武警医院院服采购招标公告
2017/03/08,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4662&categoryid=54,武警医院自然灾害卫勤救援物资招标公告
2017/02/15,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4646&categoryid=54,武警陕西省总队医院舆情监控软件招标公告
2017/02/06,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4622&categoryid=54,武警医院放射诊疗设备放射性能检测招标二次公告
2017/02/06,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4621&categoryid=54,关于2017年后勤物资采购及服务类招标代理机构中标情况...
2017/01/16,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4599&categoryid=54,武警医院病案室密集架制作招标公告
2017/01/12,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4598&categoryid=54,武警医院放射诊疗设备放射性能检测招标公告
2017/01/12,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4597&categoryid=54,武警医院临时采购医用耗材招标公告
2016/12/21,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4565&categoryid=54,武警医院车辆维修招标公告
2016/11/28,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4544&categoryid=54,武警陕西省总队医院征集招标代理机构的公告
2016/11/22,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4519&categoryid=54,武警医院营房维修耗材采购招标公告
2016/11/22,武警陕西省总队医院,"
        招标公告",http://www.wjyy029.com/NewsContent.aspx?cmscontentid=4518&categoryid=54,武警医院电梯维修保养招标公告
