postTime,msgFrom,title,link,desc
2017/02/27,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11345.html,交大二院关于2016.12.30伤口敷料招标的中标公示
2017/02/24,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11322.html,临床诊断试剂采购招标公告
2017/02/21,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11289.html,西安交通大学第二附属医院安保服务项目招标公告
2017/02/21,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11288.html,关于交大二院部分科室医疗设备的招标公告
2017/02/21,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11287.html,关于交大二院医用耗材的招标公告
2017/02/10,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11199.html,关于2017.2.9一次性活检针、穿刺针招标的中标公示
2017/01/22,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11071.html,交大二院关于2017.01.20医疗设备招标的中标公示
2017/01/20,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11063.html,交大二院关于2017.1.19耗材招标的中标公示
2017/01/18,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11045.html,西安交通大学第二附属医院医疗区锅炉及辅机设备采购安装、室外热力管网敷设改造与天然气增容改造项目招标公告
2017/01/18,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11044.html,西安交通大学第二附属医院医疗区锅炉房及热交换站扩建改造招标公告
2017/01/17,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/11031.html,交大二院关于2017.1.13耗材招标的中标公示
2017/01/10,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10984.html,关于交大二院部分科室医疗设备的招标公告
2017/01/09,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10966.html,交大二院关于2017.1.6医用耗材招标的中标公示
2017/01/09,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10960.html,关于我院大明宫院区新增射线装置放射诊疗建设项目职业病危害放射防护预评价的招标公告
2017/01/06,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10953.html,关于交大二院基因检测试剂招标公告
2017/01/06,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10952.html,西安交通大学第二附属医院办公用品、杂品采购招标公告
2017/01/06,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10951.html,关于我院大明宫院区新增射线装置核技术应用项目环境影响评价的招标公告
2017/01/03,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10934.html,交大二院关于2016.12.30医疗设备/耗材招标的中标公示
2016/12/27,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10904.html,西安交通大学第二附属医院分体空调维保招标公告
2016/12/27,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10901.html,交大二院关于2016.12.23部分耗材招标的中标公示
2016/12/19,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10843.html,交大二院关于2016.12.16招标的中标公示
2016/12/19,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10840.html,临床诊断试剂采购招标公告
2016/12/15,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10817.html,关于交大二院部分科室医疗设备的招标公告
2016/12/14,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10807.html,交大二院关于2016.11.17感控耗材招标的中标公示
2016/12/09,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10788.html,西安交通大学第二附属医院打印机耗材日常采购招标公告
2016/12/09,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10787.html,西安交通大学第二附属医院扩建项目（门诊住院楼、妇儿住院楼）精装修设计项目招标公告
2016/12/08,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10784.html,西安交通大学第二附属医院五金电料日常维修用品采购招标公告
2016/12/08,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10779.html,西安交通大学第二附属医院水暖日常维修用品采购招标公告
2016/12/08,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10776.html,西安交通大学第二附属医院办公家具日常采购招标公告
2016/12/08,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10771.html,职工年终福利招标中标结果公示
2016/12/06,西安交通大学第二附属医院,招标公告公示 - 西安交通大学第二附属医院 (西北医院),http://www.2yuan.org/Html/News/Articles/10739.html,关于交大二院医用耗材的招标公告
