postTime,msgFrom,title,link,desc
2015/07/24,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3698,·关于我院眼科手术候诊大厅彩色LED宣传屏工程招标公告
2015/07/17,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3674,·关于医用耗材招标公告
2015/07/15,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3668,·关于我院预约管理平台软件系统工程招标公告
2015/07/09,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3651,·关于院内局部混凝土路面硬化工程招标公告
2015/07/08,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3646,·关于我院新增试剂招标公告
2015/07/07,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3637,·关于我院眼科中央空调维修保养招标公告
2015/07/07,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3636,·关于我院配电室采购配电柜招标公告
2015/07/01,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3623,·关于我院新增试剂招标公告
2015/06/23,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3594,·关于我院部分科室采购空调院内招标公告
2015/06/12,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3585,·西安市第一医院医用化妆品招标公告
2015/05/20,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3535,·眼科手术室塑胶地面更新工程招标公告
2015/05/20,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3534,·眼科中央空调主机房更换夹芯（岩棉）彩钢工程招标公告
2015/05/11,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3520,·关于南院门社区医院住院楼数字监控设备项目招标公告
2015/04/30,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3492,·关于B超室装饰装修工程招标公告
2015/04/30,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=3491,·关于大C臂室装饰装修改造项目招标公告
2016/11/17,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=5146,·西安市第一医院院内招标公告
2016/02/16,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4176,·西安市第一医院关于采购移动密集档案架招标公告
2016/02/16,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4175,·西安市第一医院关于血液净化中心及重症监护病区装修改造项目招标公告
2016/02/15,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4174,·关于西安市第一医院采购病员服招标公告
2016/01/14,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4111,·西安市第一医院关于新增医疗设备公开招标公告
2016/01/13,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4108,·西安市第一医院关于家属院电路改造招标公告
2016/05/27,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4387,·西安市第一医院关于院内修缮工程施工单位招标公告
2016/05/04,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=4303,·西安市第一医院关于枫林绿洲社区卫生服务中心眼科手术室装修改造工程招标公告
2016/11/14,西安市第一医院,医院公告 - 西安第一医院,http://www.xadyyy.com/index.php?m=content&c=index&a=show&catid=81&id=5106,·西安市第一医院院内招标公告
