postTime,msgFrom,title,link,desc
2017/03/29,西安市红十字会医院,"
	招标公告-LIS系统维保项目招标公告(三次）-西安市红会医院
",http://www.xahhyy.com/Cmsview_9041.aspx,LIS系统维保项目招标公告(三次）
2017/03/29,西安市红十字会医院,"
	招标公告-病区呼叫系统及病房供电招标公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_9042.aspx,病区呼叫系统及病房供电招标公告
2017/03/29,西安市红十字会医院,"
	招标公告-金属骨针（单支无菌）招标公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_9046.aspx,金属骨针（单支无菌）招标公告
2017/03/29,西安市红十字会医院,"
	招标公告-院感系统维保分散采购公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_9048.aspx,院感系统维保分散采购公告
2017/03/29,西安市红十字会医院,"
	招标公告-嘉和EMR系统维保招标公告（三次）-西安市红会医院
",http://www.xahhyy.com/Cmsview_9045.aspx,嘉和EMR系统维保招标公告（三次）
2017/03/29,西安市红十字会医院,"
	招标公告-心电监护仪招标公告（二次）-西安市红会医院
",http://www.xahhyy.com/Cmsview_9047.aspx,心电监护仪招标公告（二次）
2017/03/31,西安市红十字会医院,"
	招标公告-更换一号楼制冷机组冷冻油分散采购公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_9044.aspx,更换一号楼制冷机组冷冻油分散采购公告
2017/02/28,西安市红十字会医院,"
	通知公告-西安市红会医院医用DSA设备核技术应用项目验收监测报告公示-西安市红会医院
",http://www.xahhyy.com/Cmsview_8950.aspx,西安市红会医院医用DSA设备核技术应用项目验收监测报告公示
2017/02/16,西安市红十字会医院,"
	通知公告-2017年度西安市红会医院春季骨科进修班录取公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_8914.aspx,2017年度西安市红会医院春季骨科进修班录取公告
2017/03/30,西安市红十字会医院,"
	招标公告-财务报表审计公司招标公告-西安市红会医院
",http://www.xahhyy.com/Cmsview_9049.aspx,财务报表审计公司招标公告
