postTime,msgFrom,title,link,desc
2016/10/11,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10380/content.aspx,招标公告：我院采购医疗设备（测听仪等）一批
2016/09/23,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10372/content.aspx,食堂电子产品采购招标公告
2016/09/13,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10361/content.aspx,招标公告：放射科DR球管及高压发生器１套
2016/09/01,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10344/content.aspx,招标：各类交换机、机房升级改造、杀毒软件维保服务、综合布线
2016/08/16,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10304/content.aspx,招标公告：我院拟购置肛肠治疗仪1台
2016/08/02,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10278/content.aspx,招标：柯达DR故障维修
2016/08/02,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10276/content.aspx,招标通知：水光治疗仪、手持微量注射枪各一台
2016/08/01,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10268/content.aspx,招标公告：我院拟购置141创面炎症及疼痛治疗仪１台
2016/07/21,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10259/content.aspx,招标：采购数字减影机更换球管1个、手术室麻醉科维修管道1套
2016/12/29,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10530/content.aspx,触摸查询一体机招标公告
2016/12/29,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10529/content.aspx,LED模块LED模块招标公告
2016/12/22,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10516/content.aspx,上油机及超声器项目招标公告
2016/12/20,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10500/content.aspx,强生过氧化氢低温灭菌器招标公告
2016/12/20,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10499/content.aspx,超声设备图像采集卡招标公告
2016/12/16,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10498/content.aspx,招标公告
2016/12/16,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10497/content.aspx,西安市第三医院采购护士鞋、头花、挂表项目招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10470/content.aspx,西安市第三医院停车场设施招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10469/content.aspx,西安市第三医院科室零星改造招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10468/content.aspx,西安市第三医院文本印刷品供应商招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10467/content.aspx,西安市第三医院厨房改造招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10466/content.aspx,市第三医院碎石机机房改造、射线防护装饰项目的招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10465/content.aspx,市第三医院办公用品、五金清洁类用品招标公告
2016/11/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10462/content.aspx,招标公告：购超声刀手柄一台
2016/11/15,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10435/content.aspx,招标公告：数字乳腺钼靶机（美国）维修
2016/11/14,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10434/content.aspx,招标公告：西安市中心医院病媒生物防治及监测服务。
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10422/content.aspx,招标公告：十二道心电图机（进口）一台
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10421/content.aspx,招标公告：手术显微器械一批
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10420/content.aspx,招标公告：排痰机一台
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10419/content.aspx,招标公告：绝缘检测设备一台
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10418/content.aspx,招标公告：ACT一台
2016/11/10,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10417/content.aspx,我院招标部分医疗设备（测听仪等）中标公告
2016/10/21,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10401/content.aspx,辐射场所环境影响评价招标公告
2016/10/21,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10400/content.aspx,辐射场所防护检测、射线装置性能检测招标公告
2017/02/09,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10624/content.aspx,西安市中心医院2017年度标识标牌采购与安装招标公告
2017/02/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10619/content.aspx,空气处理机招标公告
2016/05/11,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10066/content.aspx,我院采购同视机招标公告
2016/05/11,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10063/content.aspx,电脑外包服务招标公告
2016/04/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8609/content.aspx,西安市第三医院餐饮服务招标公告
2016/02/24,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8605/content.aspx,西安市中心医院餐饮服务招标公告
2017/01/18,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10582/content.aspx,西安市中心医院离休和工伤信息系统接口开发招标公告
2017/01/18,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10581/content.aspx,西安市中心医院门特和生育信息系统接口开发招标公告
2017/01/18,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10579/content.aspx,防火墙、VPN设备招标公告
2017/01/18,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10578/content.aspx,服务器招标公告
2017/01/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10557/content.aspx,心电图机招标公告
2017/01/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10556/content.aspx,工作台招标公告
2017/01/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10555/content.aspx,灭菌器招标公告
2016/12/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10534/content.aspx,动态血压监测招标公告
2016/02/24,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8604/content.aspx,西安市中心医院医疗设备院内议标谈判电动取皮刀招标公告
2016/01/29,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8603/content.aspx,西安市中心医院招标标识牌制作公告
2016/01/18,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8602/content.aspx,西安市中心医院门户网站系统建设（电脑版和手机版）招标公告
2016/01/14,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8601/content.aspx,我院采购压迫止血器、特种蛋白检测试剂招标公告
2016/01/08,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8600/content.aspx,西安市第三医院保洁服务招标公告
2015/12/22,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8598/content.aspx,西安市中心医院“病媒生物”防治服务招标公告
2016/12/30,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10533/content.aspx,呼吸道湿化瓶招标公告
2015/11/27,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8592/content.aspx,银行账户及POS刷卡、代发业务项目招标结果的公示
2015/11/09,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8589/content.aspx,医院等级评审软件、门诊二楼配线间迁移改造、IT运维流程管理系统招标公告
2015/11/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8586/content.aspx,胆红素吸附柱；一次性脑电传感器（BIS）；生理性海水鼻腔喷雾器招标公告
2015/10/22,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8584/content.aspx,西安市第三医院检验试剂进行院内招标公告
2015/10/14,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8583/content.aspx,花粉阻断剂（抹必净）检验试剂进行院内招标公告
2015/09/06,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8580/content.aspx,我院计划对胃幽门螺旋杆菌碳十三（C13）检验试剂进行院内招标，请有意向的供
2015/07/31,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8578/content.aspx,网络改造、机房监控系统、配线间UPS、机房动力环境监测、VLAN划分招标公告
2015/07/16,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8577/content.aspx,外网划分、机房动力环境监测招标公告
2015/07/15,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/8576/content.aspx,西安市中心医院医疗设备招标代理机构入围评标公告
2016/07/15,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10252/content.aspx,招标公告：我院拟购置数字减影机更换球管１个，手术室、麻醉科维修管道１套
2016/07/13,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10241/content.aspx,招标公告：我院拟购置智能微波消解仪一台
2016/07/11,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10238/content.aspx,关于招标中介服务机构的招标公告
2016/07/01,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10212/content.aspx,我院公开招标一批运送周转车中标公告
2016/06/17,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10191/content.aspx,招标公告：我院购置痔疮套扎器、新生儿吸痰器、硫酸镁湿敷膜等设备
2016/06/17,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10190/content.aspx,西安市第三医院太平间停尸冷藏柜采购招标公告
2016/06/07,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10156/content.aspx,招标公告：我院购置铅衣、铅帽、铅围脖五套
2016/06/07,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10155/content.aspx,招标公告：我院购置视野检查仪２台
2016/06/02,西安市中心医院,西安市中心医院,http://www.xaszxyy.com/2/10147/content.aspx,招标公告：西安市中心医院采购一批运送周转车
