postTime,msgFrom,title,link,desc
2016/10/12,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/815/content.aspx,净化区域改造的中标公示
2016/10/12,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/814/content.aspx,安装高清液晶显示屏的中标公示
2016/10/12,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/813/content.aspx,采购办公家具公告
2016/10/12,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/812/content.aspx,采购食堂送餐车公告
2016/10/10,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/778/content.aspx,西安市胸科医院关于医用射线装置核技术应用项目的公示
2016/10/09,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/806/content.aspx,省医保平台与HIS对接接口开发项目议价公告
2016/10/08,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/805/content.aspx,门诊楼、医技楼制作地面标识、楼层牌的询标公告
2016/10/08,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/804/content.aspx,植（移）树询标公告
2016/09/29,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/803/content.aspx,医疗设备询价公告
2016/09/29,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/802/content.aspx,医疗设备重新院内议价公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/801/content.aspx,安装高清液晶显示屏的询标公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/800/content.aspx,净化区域改造的询标公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/799/content.aspx,培训中心安装医用气体设备带询标公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/798/content.aspx,供应室通道窗户改造的询标公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/797/content.aspx,加强医院磁共振屏蔽防护工程询价公告
2016/09/28,西安市胸科医院,西安市胸科医院,http://www.xaxkyy.com/2/796/content.aspx,病区值班室被服续签合同询价公告
