postTime,msgFrom,title,link,desc
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5571.htm,公开招标公告西安医学院血细胞分析仪项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5568.htm,公开招标公告西安医学院实验家具项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5564.htm,公开招标公告西安医学院进口离心机项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5565.htm,公开招标公告西安医学院进口显微镜项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5569.htm,公开招标公告西安医学院投影仪项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5570.htm,公开招标公告西安医学院血培养细菌鉴定及药敏测试系统项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5562.htm,公开招标公告西安医学院计算机项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5567.htm,公开招标公告西安医学院生化分析仪项目
2011/04/02,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5563.htm,公开招标公告西安医学院检验设备项目
2011/03/30,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5557.htm,西安医学院护理统计机房项目公开招标公告
2011/03/29,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5556.htm,西安医学院制药设备项目公开招标公告
2011/03/28,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5555.htm,西安医学院投标邀请公告
2011/02/19,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5549.htm,西安医学院未央校区教师公寓岩土工程勘察招标公告
2011/02/19,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/5547.htm,西安医学院校史馆工程招标公告
2016/09/13,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27604.htm,西安医学院未央校区教师公寓总体工程招标公告
2016/09/07,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27461.htm,西安医学院临床医学院实验耗材公开询价公告
2016/09/07,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27448.htm,西安医学院药学院实验耗材公开询价公告
2016/07/30,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27074.htm,西安医学院临床医学院动物实验室建设工程招标公告
2016/07/29,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27068.htm,西安医学院未央校区监控系统二期工程中标候选人公示
2016/07/23,西安医学院,西安医学院欢迎您,http://www.xiyi.edu.cn/xwzx/tzgg/27053.htm,西安医学院未央校区生活区消防系统和设施维修改造工程中标人公示
