postTime,msgFrom,title,link,desc
2007/03/08,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=4151,更名公告
1900/01/01,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=4237,医疗设备招标公示
1900/01/01,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=4236,医疗设备招标公示
2017/01/12,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6146,公示
2017/01/10,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6136,西安市第九医院招标公告
2017/01/06,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6134,中标公告
2017/01/03,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6126,西安市第九医院2017年院内门窗维修的招标公告
2017/01/03,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6125,西安市第九医院2017年院内零小基建维修及零星用工招标公告
2017/01/03,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6124,西安市第九医院2017年院内标志标牌零星制作安装招标公告
2016/12/29,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6122,西安市第九医院2017年院内零星防水维修招标公告
2016/12/29,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6123,西安市第九医院2017年全年锅炉维保服务招标公告
2016/12/28,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6115,西安市第九医院2017年污水处理系统维保服务招标公告
2016/12/28,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6114,西安市第九医院2017年全年电梯维保服务合同招标公告
2016/12/13,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6090,西安市第九医院招标公告
2016/12/08,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6082,西安市第九医院中心机房维保服务竞争性谈判结果公示
2016/11/18,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6056,西安市第九医院中心机房维修保养招标公告
2016/11/04,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6034,西安市第九医院招标公告
2016/10/27,西安市第九医院,"
	西安市第九医院(西安市铁路中心医院)
",http://www.xtzxyy.com/cn/news.aspx?id=6023,西安市第九医院新丰卫生所弱电工程项目招标结果公示
