postTime,msgFrom,title,link,desc
2017/02/07,咸阳市中心医院,近期分散采购结果公示-咸阳市中心医院,http://www.xy120.net/info/1162/2452.htm,近期分散采购结果公示
2017/01/16,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/2400.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2017/03/07,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/2542.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/03/08,咸阳市中心医院,近期分散采购结果公示-咸阳市中心医院,http://www.xy120.net/info/1162/1953.htm,近期分散采购结果公示
2014/10/14,咸阳市中心医院,招聘公告-咸阳市中心医院,http://www.xy120.net/info/1162/1956.htm,招聘公告
2016/03/22,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/1952.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/07/22,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员综合成绩公告-咸阳市中心医院,http://www.xy120.net/info/1162/1941.htm,咸阳市中心医院2016年自主招聘工作人员综合成绩公告
2016/06/15,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员取消或核减岗位及通过资格审核人员公告-咸阳市中心医院,http://www.xy120.net/info/1162/1945.htm,咸阳市中心医院2016年自主招聘工作人员取消或核减岗位及通过资格审核人员公告
2016/08/02,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员体检、政审递补公告-咸阳市中心医院,http://www.xy120.net/info/1162/1939.htm,咸阳市中心医院2016年自主招聘工作人员体检、政审递补公告
2016/06/01,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/1948.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/08/10,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/1938.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/04/21,咸阳市中心医院,近期分散采购结果公示-咸阳市中心医院,http://www.xy120.net/info/1162/1950.htm,近期分散采购结果公示
2016/08/18,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/1936.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/06/22,咸阳市中心医院,近期分散采购结果公示-咸阳市中心医院,http://www.xy120.net/info/1162/1946.htm,近期分散采购结果公示
2016/08/17,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员递补公告-咸阳市中心医院,http://www.xy120.net/info/1162/1937.htm,咸阳市中心医院2016年自主招聘工作人员递补公告
2016/06/15,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员取消或核减岗位及通过资格审核人员公告-咸阳市中心医院,http://www.xy120.net/info/1162/1947.htm,咸阳市中心医院2016年自主招聘工作人员取消或核减岗位及通过资格审核人员公告
2016/04/08,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员公告-咸阳市中心医院,http://www.xy120.net/info/1162/1951.htm,咸阳市中心医院2016年自主招聘工作人员公告
2016/05/09,咸阳市中心医院,咸阳市中心医院关于部分设备耗材采购项目公告-咸阳市中心医院,http://www.xy120.net/info/1162/1949.htm,咸阳市中心医院关于部分设备耗材采购项目公告
2016/09/12,咸阳市中心医院,近期分散采购结果公示-咸阳市中心医院,http://www.xy120.net/info/1162/1974.htm,近期分散采购结果公示
2016/07/12,咸阳市中心医院,咸阳市中心医院2016年自主招聘工作人员笔试成绩公告-咸阳市中心医院,http://www.xy120.net/info/1162/1943.htm,咸阳市中心医院2016年自主招聘工作人员笔试成绩公告
