postTime,msgFrom,title,link,desc
2016/09/20,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/1211/content.aspx,药品实行零差价公告
2016/04/19,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/1093/content.aspx,延安市人民医院纯净水招标公告
2015/07/28,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/940/content.aspx,延安市人民医院关于公开招聘博士研究生的公告
2012/04/02,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/347/content.aspx,延安市人民医院无假日门诊公告
2012/01/17,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/351/content.aspx,2012年春节放假公告
2011/12/30,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/352/content.aspx,2012年元旦放假公告
2011/12/26,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/353/content.aspx,关于公开招聘录用王延军等同志为延安市人民医院工作人员的公示
2011/11/04,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/355/content.aspx,延安市人民医院2011年公开招聘工作人员公告
2011/10/01,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/356/content.aspx,我院门诊挂号、预约咨询电话公示
2014/09/19,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/34/content.aspx,取消午休公告
2013/02/04,延安市人民医院,延安市人民医院,http://www.yasrmyy.cn/2/336/content.aspx,无假日医院公告
