postTime,msgFrom,title,link,desc
2017/03/06,西安交通大学第一附属医院,关于自体血离心机项目院内招标(集体采购)公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4847.htm,关于自体血离心机项目院内招标(集体采购)公告
2017/03/15,西安交通大学第一附属医院,关于自体血离心机项目院内招标（集体采购）公告（第2次）-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4865.htm,关于自体血离心机项目院内招标（集体采购）公告（第2次）
2017/03/08,西安交通大学第一附属医院,关于电子染色电子喉镜项目院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4851.htm,关于电子染色电子喉镜项目院内招标（集体采购）公告
2017/03/15,西安交通大学第一附属医院,关于空调项目院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4866.htm,关于空调项目院内招标（集体采购）公告
2017/03/21,西安交通大学第一附属医院,关于内分泌代谢中心装修改造项目院内招标（集体采购）二次公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4878.htm,关于内分泌代谢中心装修改造项目院内招标（集体采购）二次公告
2017/03/16,西安交通大学第一附属医院,关于我院东侧道路地沟及配套管网改造项目设计项目院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4869.htm,关于我院东侧道路地沟及配套管网改造项目设计项目院内招标（集体采购）公告
2017/03/24,西安交通大学第一附属医院,关于大兴善寺院区低噪音轴流排烟风机采购院内二次招标公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4884.htm,关于大兴善寺院区低噪音轴流排烟风机采购院内二次招标公告
2017/03/24,西安交通大学第一附属医院,关于科教综合楼实验台项目院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4885.htm,关于科教综合楼实验台项目院内招标（集体采购）公告
2017/03/07,西安交通大学第一附属医院,关于科教楼导视系统设计及制造安装项目院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4848.htm,关于科教楼导视系统设计及制造安装项目院内招标（集体采购）公告
2017/03/17,西安交通大学第一附属医院,关于医用钬激光治疗机项目院内招标（集体采购）第二次公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4870.htm,关于医用钬激光治疗机项目院内招标（集体采购）第二次公告
2017/03/28,西安交通大学第一附属医院,关于空调项目院内招标（集体采购）第二次公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4889.htm,关于空调项目院内招标（集体采购）第二次公告
2017/03/21,西安交通大学第一附属医院,关于大兴善寺院区医用气体系统工程院内招标（集体采购）公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4879.htm,关于大兴善寺院区医用气体系统工程院内招标（集体采购）公告
2017/02/13,西安交通大学第一附属医院,关于子宫内膜治疗仪采购项目院内招标(二次)公告-西安交通大学第一附属医院招标采供办公室,http://yfyzbb.jdyfy.com/info/1025/4811.htm,关于子宫内膜治疗仪采购项目院内招标(二次)公告
