postTime,msgFrom,title,link,desc
2016/07/19,榆林市第二医院,榆林市第二医院肛肠治疗仪招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/273.html,榆林市第二医院肛肠治疗仪招标公告
2016/07/19,榆林市第二医院,榆林市第二医院腔镜手术器械招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/275.html,榆林市第二医院腔镜手术器械招标公告
2016/08/23,榆林市第二医院,开标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/296.html,开标公告
2016/07/19,榆林市第二医院,榆林市第二医院射频治疗仪招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/274.html,榆林市第二医院射频治疗仪招标公告
2016/08/13,榆林市第二医院,榆林市第二医院肛肠治疗仪招标延期公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/276.html,榆林市第二医院肛肠治疗仪招标延期公告
2016/10/11,榆林市第二医院,榆林市第二医院招聘助产专业技术人员公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/297.html,榆林市第二医院招聘助产专业技术人员公告
2017/03/13,榆林市第二医院,二氧化碳恒温培养箱、精密空调招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/308.html,二氧化碳恒温培养箱、精密空调招标公告
2016/07/19,榆林市第二医院,普外科、泌尿外科耗材招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/272.html,普外科、泌尿外科耗材招标公告
2016/05/23,榆林市第二医院,榆林市第二医院康复科设备招标延期公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/242.html,榆林市第二医院康复科设备招标延期公告
2016/05/09,榆林市第二医院,榆林二院康复科设备招标公告_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/237.html,榆林二院康复科设备招标公告
2016/05/21,榆林市第二医院,榆林二院超声刀及刀头等耗材招标_榆林市第二医院,http://www.yl2y.com/dtxx/gonggao/236.html,榆林二院超声刀及刀头等耗材招标
