postTime,msgFrom,title,link,desc
2017/02/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4918,关于容灾机房改造装修工程二次招标公告
2017/02/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4917,关于陕西中医药大学第二附属医院迁建一期项目增选招标代理服务机构的二次招标公告
2017/02/10,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4916,关于呼吸科新病房改造装修工程招标公告
2017/02/09,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4908,陕西中医药大学第二附属医院营养食品制剂集中配送招标公告
2017/02/07,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4902,关于陕西中医药大学第二附属医院迁建一期项目增选招标代理服务机构的招标公告
2017/02/07,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4900,关于容灾机房改造装修工程招标公告
2017/01/09,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4852,关于陕中二附院迁建医院一期项目地基承载力检测招标(二次招标)的中标公示
2017/01/09,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4851,关于陕中二附院迁建医院一期项目基坑及建筑物变形监测招标(二次招标)的中标公示
2017/01/04,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4847,关于胰岛素泵、糖尿病四肢血管检测仪、深感觉震动阈值检测仪、近红外治疗仪的招标公告
2016/12/29,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4833,关于调整“迁建医院一期项目基坑及建筑物变形监测招标”项目的通知
2016/12/28,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4832,关于陕西中医药大学第二附属医院迁建医院一期项目地基承载力检测的二次招标公告
2016/12/27,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4825,关于超声刀系统的二次招标公告
2016/12/21,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4823,关于陕西中医药大学第二附属医院迁建医院一期项目地基承载力检测的招标公告
2016/12/21,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4822,关于陕西中医药大学第二附属医院迁建医院一期项目基坑及建筑物变形监测的招标公告
2016/12/20,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4818,关于“协同楼周边绿化工程”招标项目延长报名时间及报名资质变更的通知
2016/12/20,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4817,关于超声刀系统的招标公告
2016/12/19,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4815,关于区域性标准化病人（SP）管理系统、下肢静脉泵、有创监护仪、穿戴式心肺音听诊操作模型的二次招标公告
2016/12/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4803,关于医院协同创新大楼周边绿化工程的招标公告
2016/12/08,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4776,关于飞利浦FD-20平板血管造影机维保服务、区域性标准化病人（SP）管理系统、下肢静脉泵、有创监护仪、穿戴式心肺音听诊操作模型的招标公告
2016/11/21,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4741,关于医用耗材、试剂集中配送招标（招标编号：2016025）的补充公告
2016/11/15,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4729,关于医用耗材、试剂集中配送招标公告
2016/11/11,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4725,关于陕中二附院迁建医院一期项目基坑及建筑物变形监测招标的中标公示
2016/11/11,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4724,关于陕中二附院迁建医院一期项目地基承载力检测招标的中标公示
2016/10/31,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4699,关于视频监控设备的招标公告
2016/10/28,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4693,陕西中医药大学第二附属医院(第二临床医学院)迁建医院一期项目地基承载力检测招标公告
2016/10/28,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4692,陕西中医药大学第二附属医院(第二临床医学院)迁建医院一期项目基坑及建筑物变形监测招标公告
2017/03/30,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=5064,关于气压弹道碎石机、电动肌肉振动仪（冲击波治疗仪）、绝缘性能检测仪、模型教具一批的招标公告
2017/03/29,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=5059,关于净化系统维保服务的二次招标公告
2017/03/15,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=5021,关于净化系统维保服务的招标公告
2017/03/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=5005,关于医用干燥柜、医用煮沸消毒器、医用升温毯、恒温培养箱、生化培养箱的二次招标公告
2017/03/06,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4982,关于除颤监护仪、低温冰箱、经皮黄疸仪、低温等离子灭菌器、医用干燥柜、医用煮沸消毒器、低温塑封机、医用升温毯、恒温培养箱、生物安全柜、生化培养箱、医用冷藏箱的招标公告
2017/03/06,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4981,关于肌松监测仪、加温输液器等的邀请招标公告
2017/02/24,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4947,关于迁建医院一期项目增选招标代理服务机构的中标公示
2017/02/18,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4939,关于呼吸科新病房改造装修工程二次招标公告
2017/02/18,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4938,陕西中医药大学第二附属医院营养食品制剂二次招标公告
2017/02/15,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4932,关于对“关于陕西中医药大学第二附属医院迁建一期项目增选招标代理服务机构招标文件”修正的公告
2016/10/26,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4680,关于手术器械、保湿剂等的邀请招标公告
2016/10/24,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4661,关于流式细胞仪的二次招标公告
2016/10/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4653,关于流式细胞仪的招标公告
2016/10/08,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4640,关于胰岛素泵、耳声发射仪的招标公告
2016/10/08,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4639,关于陪护椅的二次招标公告
2016/10/08,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4638,关于婴儿光疗暖箱、辐射式新生儿抢救台和遴选招标代理机构的中标公示
2016/10/06,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4637,关于经皮穴位电刺激治疗仪、非邻苯输液器等的邀请招标公告
2016/09/19,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4621,关于工会活动室维修工程二次招标公告
2016/09/14,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4620,关于婴儿光疗暖箱、辐射式新生儿抢救台和陪护椅的招标公告
2016/09/09,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4616,关于工会活动室维修工程招标公告
2016/09/08,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4615,关于遴选招标代理机构的招标公告
2016/08/30,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4607,关于盆底康复治疗仪的二次招标公告
2016/08/25,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4603,关于陕西中医药大学第二附属医院西安分院“医院信息化整体建设”项目招标结果公示
2016/08/21,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4597,关于陕中二附院“病案密集柜”招标结果公示
2016/08/20,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4595,关于陕西中医药大学第二附属医院院内“一卡通”就诊卡的招标公告
2016/08/19,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4594,关于眼科手术室改造装修工程招标公告
2016/08/15,陕西中医药大学第二附属医院,陕西中医药大学第二附属医院-,http://www.zyhos.com/news/show.asp?id=4585,关于处理一号住院楼原1#电梯拆除部件的邀请招标公告
